month,month_name,origin_state_abbr,operating_airline,flights,cancelled_flights,on_time_flights,dep_delayed_any,dep_delayed_15,dep_delayed_30,dep_delayed_60,dep_delayed_120,arr_delayed_any,arr_delayed_15,arr_delayed_30,arr_delayed_60,arr_delayed_120,sum_departure_delay_min,sum_arrival_delay_min,sum_total_delay_min,arr_delay_rate_any,dep_delay_rate_any,cancel_rate,avg_arrival_delay_min,avg_departure_delay_min,avg_total_delay_min
1,January,CA,G4,270.0,4.0,141.0,103.0,70.0,51.0,36.0,18.0,125.0,82.0,53.0,36.0,17.0,8543.0,8886.0,8601.0,0.46296296296296297,0.3814814814814815,0.014814814814814815,32.91111111111111,31.64074074074074,31.855555555555554
1,January,CA,HA,572.0,14.0,218.0,199.0,82.0,51.0,22.0,12.0,340.0,187.0,76.0,32.0,12.0,6341.0,9944.0,8833.0,0.5944055944055944,0.3479020979020979,0.024475524475524476,17.384615384615383,11.085664335664335,15.442307692307692
1,January,CA,MQ,157.0,1.0,107.0,52.0,35.0,21.0,14.0,4.0,49.0,32.0,22.0,12.0,4.0,2315.0,2156.0,2050.0,0.31210191082802546,0.33121019108280253,0.006369426751592357,13.73248407643312,14.745222929936306,13.05732484076433
1,January,CA,NK,1633.0,19.0,1175.0,473.0,248.0,162.0,72.0,32.0,439.0,239.0,146.0,67.0,32.0,17168.0,15918.0,14751.0,0.26883037354562156,0.2896509491733007,0.011635027556644213,9.74770361298224,10.51316595223515,9.033067973055726
1,January,CA,OO,11862.0,70.0,7989.0,3072.0,1829.0,1249.0,714.0,260.0,3803.0,2075.0,1320.0,693.0,251.0,140469.0,145852.0,134911.0,0.3206036081605126,0.2589782498735458,0.005901197099983139,12.29573427752487,11.841932220536165,11.373377170797504
1,January,CA,UA,7616.0,719.0,4683.0,2461.0,1270.0,865.0,500.0,215.0,2214.0,1227.0,796.0,443.0,191.0,107935.0,97757.0,91210.0,0.29070378151260506,0.3231355042016807,0.09440651260504201,12.835740546218487,14.172137605042018,11.976102941176471
1,January,CA,WN,18715.0,221.0,11885.0,7590.0,3550.0,1991.0,827.0,196.0,6609.0,3296.0,1861.0,741.0,194.0,189059.0,173894.0,152404.0,0.3531391931605664,0.4055570398076409,0.011808709591236975,9.291691156826076,10.102003740315254,8.143414373497194
1,January,CO,AA,1177.0,15.0,563.0,516.0,349.0,264.0,146.0,74.0,599.0,413.0,286.0,161.0,76.0,37624.0,39873.0,38597.0,0.5089209855564996,0.43840271877655057,0.012744265080713678,33.8768054375531,31.966015293118097,32.79269328802039
1,January,CO,AS,126.0,16.0,66.0,57.0,32.0,22.0,13.0,3.0,44.0,28.0,19.0,11.0,4.0,2110.0,1862.0,1744.0,0.3492063492063492,0.4523809523809524,0.12698412698412698,14.777777777777779,16.746031746031747,13.841269841269842
1,January,CO,B6,96.0,0.0,43.0,45.0,32.0,25.0,13.0,6.0,53.0,36.0,26.0,13.0,6.0,2366.0,2566.0,2454.0,0.5520833333333334,0.46875,0.0,26.729166666666668,24.645833333333332,25.5625
1,January,CO,DL,1146.0,0.0,761.0,427.0,207.0,125.0,57.0,26.0,385.0,205.0,121.0,61.0,24.0,14956.0,14291.0,13087.0,0.33595113438045376,0.3726003490401396,0.0,12.470331588132636,13.050610820244328,11.419720767888307
1,January,CO,F9,1467.0,11.0,919.0,520.0,332.0,221.0,122.0,53.0,537.0,325.0,223.0,112.0,47.0,23462.0,22503.0,21112.0,0.3660531697341513,0.35446489434219497,0.007498295841854124,15.339468302658487,15.993183367416496,14.391274710293116
1,January,CO,G4,34.0,2.0,18.0,14.0,8.0,5.0,3.0,2.0,14.0,6.0,5.0,3.0,2.0,649.0,648.0,592.0,0.4117647058823529,0.4117647058823529,0.058823529411764705,19.058823529411764,19.08823529411765,17.41176470588235
1,January,CO,MQ,26.0,0.0,17.0,8.0,2.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,103.0,136.0,108.0,0.34615384615384615,0.3076923076923077,0.0,5.230769230769231,3.9615384615384617,4.153846153846154
1,January,CO,NK,36.0,0.0,11.0,29.0,20.0,17.0,5.0,1.0,25.0,17.0,12.0,4.0,1.0,1625.0,1506.0,1451.0,0.6944444444444444,0.8055555555555556,0.0,41.833333333333336,45.138888888888886,40.30555555555556
1,January,CO,OO,6141.0,255.0,3666.0,2090.0,1360.0,999.0,612.0,284.0,2220.0,1377.0,960.0,573.0,273.0,139662.0,137705.0,131994.0,0.361504640937958,0.3403354502524019,0.04152418172936004,22.423872333496174,22.742550073277968,21.49389350268686
