month,month_name,origin_state_abbr,operating_airline,primary_delay_cause,flights,delayed_flights,sum_arrival_delay_min,sum_total_delay_min,delay_rate,avg_arrival_delay_min,avg_total_delay_min
1,January,FL,UA,Carrier,246.0,233.0,21547.0,21547.0,0.9471544715447154,87.58943089430895,87.58943089430895
1,January,FL,UA,Late Aircraft,357.0,352.0,37008.0,37008.0,0.9859943977591037,103.66386554621849,103.66386554621849
1,January,FL,UA,NAS,277.0,265.0,15182.0,15182.0,0.9566787003610109,54.808664259927795,54.808664259927795
1,January,FL,UA,No Delay,4427.0,0.0,3926.0,0.0,0.0,0.8868308109329117,0.0
1,January,FL,UA,Weather,18.0,18.0,6347.0,6347.0,1.0,352.6111111111111,352.6111111111111
1,January,FL,WN,Carrier,679.0,643.0,31148.0,31148.0,0.946980854197349,45.87334315169367,45.87334315169367
1,January,FL,WN,Late Aircraft,1414.0,1374.0,79926.0,79926.0,0.9717114568599717,56.524752475247524,56.524752475247524
1,January,FL,WN,NAS,541.0,508.0,22478.0,22478.0,0.9390018484288355,41.54898336414048,41.54898336414048
1,January,FL,WN,No Delay,7258.0,0.0,13278.0,0.0,0.0,1.8294295949297328,0.0
1,January,FL,WN,Security,18.0,17.0,719.0,719.0,0.9444444444444444,39.94444444444444,39.94444444444444
1,January,FL,WN,Weather,19.0,19.0,2295.0,2295.0,1.0,120.78947368421052,120.78947368421052
1,January,FL,YX,Carrier,14.0,14.0,1338.0,1338.0,1.0,95.57142857142857,95.57142857142857
1,January,FL,YX,Late Aircraft,22.0,20.0,2014.0,2014.0,0.9090909090909091,91.54545454545455,91.54545454545455
1,January,FL,YX,NAS,15.0,12.0,500.0,500.0,0.8,33.333333333333336,33.333333333333336
1,January,FL,YX,No Delay,257.0,0.0,247.0,0.0,0.0,0.9610894941634242,0.0
1,January,FL,YX,Weather,2.0,2.0,750.0,750.0,1.0,375.0,375.0
1,January,GA,9E,Carrier,259.0,256.0,20707.0,20707.0,0.9884169884169884,79.94980694980696,79.94980694980696
1,January,GA,9E,Late Aircraft,220.0,216.0,18990.0,18990.0,0.9818181818181818,86.31818181818181,86.31818181818181
1,January,GA,9E,NAS,90.0,82.0,4007.0,4007.0,0.9111111111111111,44.522222222222226,44.522222222222226
1,January,GA,9E,No Delay,2189.0,0.0,2337.0,0.0,0.0,1.0676107811786204,0.0
1,January,GA,9E,Security,1.0,1.0,41.0,41.0,1.0,41.0,41.0
1,January,GA,9E,Weather,71.0,70.0,16934.0,16934.0,0.9859154929577465,238.50704225352112,238.50704225352112
1,January,GA,AA,Carrier,43.0,42.0,4539.0,4539.0,0.9767441860465116,105.55813953488372,105.55813953488372
1,January,GA,AA,Late Aircraft,72.0,72.0,8138.0,8138.0,1.0,113.02777777777777,113.02777777777777
1,January,GA,AA,NAS,47.0,43.0,1769.0,1769.0,0.9148936170212766,37.638297872340424,37.638297872340424
1,January,GA,AA,No Delay,505.0,0.0,808.0,0.0,0.0,1.6,0.0
1,January,GA,AA,Weather,4.0,4.0,1335.0,1335.0,1.0,333.75,333.75
1,January,GA,AS,Carrier,3.0,2.0,107.0,107.0,0.6666666666666666,35.666666666666664,35.666666666666664
1,January,GA,AS,Late Aircraft,2.0,2.0,53.0,53.0,1.0,26.5,26.5
1,January,GA,AS,NAS,3.0,3.0,80.0,80.0,1.0,26.666666666666668,26.666666666666668
1,January,GA,AS,No Delay,60.0,0.0,59.0,0.0,0.0,0.9833333333333333,0.0
1,January,GA,B6,Carrier,30.0,29.0,2974.0,2974.0,0.9666666666666667,99.13333333333334,99.13333333333334
1,January,GA,B6,Late Aircraft,51.0,49.0,4193.0,4193.0,0.9607843137254902,82.2156862745098,82.2156862745098
1,January,GA,B6,NAS,16.0,16.0,976.0,976.0,1.0,61.0,61.0
1,January,GA,B6,No Delay,236.0,0.0,347.0,0.0,0.0,1.4703389830508475,0.0
1,January,GA,DL,Carrier,1446.0,1383.0,78349.0,78349.0,0.9564315352697096,54.18326417704011,54.18326417704011
1,January,GA,DL,Late Aircraft,592.0,576.0,36149.0,36149.0,0.972972972972973,61.0625,61.0625
1,January,GA,DL,NAS,788.0,733.0,30914.0,30914.0,0.9302030456852792,39.23096446700507,39.23096446700507
1,January,GA,DL,No Delay,13728.0,0.0,16899.0,0.0,0.0,1.2309877622377623,0.0
1,January,GA,DL,Security,4.0,4.0,206.0,206.0,1.0,51.5,51.5
1,January,GA,DL,Weather,149.0,145.0,20061.0,20061.0,0.9731543624161074,134.63758389261744,134.63758389261744
1,January,GA,F9,Carrier,73.0,70.0,5612.0,5612.0,0.958904109589041,76.87671232876713,76.87671232876713
1,January,GA,F9,Late Aircraft,109.0,106.0,9760.0,9760.0,0.9724770642201835,89.54128440366972,89.54128440366972
1,January,GA,F9,NAS,47.0,44.0,1746.0,1746.0,0.9361702127659575,37.148936170212764,37.148936170212764
1,January,GA,F9,No Delay,514.0,0.0,656.0,0.0,0.0,1.2762645914396886,0.0
1,January,GA,F9,Weather,3.0,3.0,228.0,228.0,1.0,76.0,76.0
1,January,GA,G4,Carrier,2.0,2.0,227.0,227.0,1.0,113.5,113.5
1,January,GA,G4,Late Aircraft,1.0,1.0,86.0,86.0,1.0,86.0,86.0
1,January,GA,G4,NAS,2.0,2.0,54.0,54.0,1.0,27.0,27.0
1,January,GA,G4,No Delay,20.0,0.0,13.0,0.0,0.0,0.65,0.0
1,January,GA,MQ,Carrier,8.0,8.0,1830.0,1830.0,1.0,228.75,228.75
1,January,GA,MQ,Late Aircraft,31.0,31.0,2151.0,2151.0,1.0,69.38709677419355,69.38709677419355
1,January,GA,MQ,NAS,11.0,10.0,333.0,333.0,0.9090909090909091,30.272727272727273,30.272727272727273
1,January,GA,MQ,No Delay,147.0,0.0,257.0,0.0,0.0,1.748299319727891,0.0
1,January,GA,NK,Carrier,87.0,78.0,4908.0,4908.0,0.896551724137931,56.41379310344828,56.41379310344828
1,January,GA,NK,Late Aircraft,75.0,75.0,6334.0,6334.0,1.0,84.45333333333333,84.45333333333333
1,January,GA,NK,NAS,102.0,100.0,6267.0,6267.0,0.9803921568627451,61.44117647058823,61.44117647058823
1,January,GA,NK,No Delay,663.0,0.0,1020.0,0.0,0.0,1.5384615384615385,0.0
1,January,GA,NK,Security,2.0,2.0,66.0,66.0,1.0,33.0,33.0
1,January,GA,NK,Weather,9.0,9.0,429.0,429.0,1.0,47.666666666666664,47.666666666666664
1,January,GA,OH,Carrier,18.0,18.0,1141.0,1141.0,1.0,63.388888888888886,63.388888888888886
1,January,GA,OH,Late Aircraft,56.0,56.0,7579.0,7579.0,1.0,135.33928571428572,135.33928571428572
1,January,GA,OH,NAS,17.0,15.0,578.0,578.0,0.8823529411764706,34.0,34.0
1,January,GA,OH,No Delay,385.0,0.0,350.0,0.0,0.0,0.9090909090909091,0.0
1,January,GA,OH,Weather,1.0,1.0,86.0,86.0,1.0,86.0,86.0
1,January,GA,OO,Carrier,224.0,223.0,28661.0,28661.0,0.9955357142857143,127.95089285714286,127.95089285714286
1,January,GA,OO,Late Aircraft,1.0,1.0,53.0,53.0,1.0,53.0,53.0
1,January,GA,OO,NAS,31.0,31.0,1857.0,1857.0,1.0,59.903225806451616,59.903225806451616
1,January,GA,OO,No Delay,802.0,0.0,944.0,0.0,0.0,1.1770573566084788,0.0
1,January,GA,OO,Weather,92.0,92.0,11299.0,11299.0,1.0,122.81521739130434,122.81521739130434
1,January,GA,UA,Carrier,15.0,12.0,1868.0,1868.0,0.8,124.53333333333333,124.53333333333333
1,January,GA,UA,Late Aircraft,43.0,43.0,4640.0,4640.0,1.0,107.90697674418605,107.90697674418605
1,January,GA,UA,NAS,34.0,30.0,2210.0,2210.0,0.8823529411764706,65.0,65.0
1,January,GA,UA,No Delay,521.0,0.0,364.0,0.0,0.0,0.6986564299424184,0.0
1,January,GA,UA,Weather,2.0,2.0,1216.0,1216.0,1.0,608.0,608.0
1,January,GA,WN,Carrier,281.0,269.0,10919.0,10919.0,0.9572953736654805,38.8576512455516,38.8576512455516
1,January,GA,WN,Late Aircraft,414.0,405.0,25154.0,25154.0,0.9782608695652174,60.75845410628019,60.75845410628019
1,January,GA,WN,NAS,106.0,104.0,4680.0,4680.0,0.9811320754716981,44.15094339622642,44.15094339622642
1,January,GA,WN,No Delay,2365.0,0.0,4068.0,0.0,0.0,1.7200845665961946,0.0
1,January,GA,WN,Weather,8.0,8.0,1106.0,1106.0,1.0,138.25,138.25
1,January,GA,YX,Carrier,7.0,7.0,489.0,489.0,1.0,69.85714285714286,69.85714285714286
1,January,GA,YX,Late Aircraft,8.0,8.0,941.0,941.0,1.0,117.625,117.625
1,January,GA,YX,NAS,11.0,11.0,724.0,724.0,1.0,65.81818181818181,65.81818181818181
1,January,GA,YX,No Delay,206.0,0.0,205.0,0.0,0.0,0.9951456310679612,0.0
1,January,GA,YX,Weather,1.0,1.0,18.0,18.0,1.0,18.0,18.0
1,January,HI,AA,Carrier,24.0,23.0,5692.0,5692.0,0.9583333333333334,237.16666666666666,237.16666666666666
1,January,HI,AA,Late Aircraft,7.0,6.0,2569.0,2569.0,0.8571428571428571,367.0,367.0
1,January,HI,AA,NAS,9.0,9.0,236.0,236.0,1.0,26.22222222222222,26.22222222222222
1,January,HI,AA,No Delay,429.0,0.0,273.0,0.0,0.0,0.6363636363636364,0.0
1,January,HI,AS,Carrier,39.0,39.0,4197.0,4197.0,1.0,107.61538461538461,107.61538461538461
1,January,HI,AS,Late Aircraft,163.0,163.0,17113.0,17113.0,1.0,104.9877300613497,104.9877300613497
1,January,HI,AS,NAS,10.0,10.0,386.0,386.0,1.0,38.6,38.6
1,January,HI,AS,No Delay,564.0,0.0,552.0,0.0,0.0,0.9787234042553191,0.0
1,January,HI,AS,Weather,13.0,13.0,777.0,777.0,1.0,59.76923076923077,59.76923076923077
1,January,HI,DL,Carrier,19.0,18.0,3387.0,3387.0,0.9473684210526315,178.26315789473685,178.26315789473685
1,January,HI,DL,Late Aircraft,36.0,36.0,2649.0,2649.0,1.0,73.58333333333333,73.58333333333333
1,January,HI,DL,NAS,8.0,8.0,354.0,354.0,1.0,44.25,44.25
1,January,HI,DL,No Delay,470.0,0.0,254.0,0.0,0.0,0.5404255319148936,0.0
1,January,HI,HA,Carrier,441.0,411.0,17009.0,17009.0,0.9319727891156463,38.569160997732425,38.569160997732425
1,January,HI,HA,Late Aircraft,714.0,697.0,30564.0,30564.0,0.9761904761904762,42.80672268907563,42.80672268907563
1,January,HI,HA,NAS,117.0,113.0,5303.0,5303.0,0.9658119658119658,45.324786324786324,45.324786324786324
1,January,HI,HA,No Delay,4259.0,0.0,11417.0,0.0,0.0,2.680676215073961,0.0
1,January,HI,HA,Security,9.0,9.0,206.0,206.0,1.0,22.88888888888889,22.88888888888889
1,January,HI,HA,Weather,120.0,107.0,4336.0,4336.0,0.8916666666666667,36.13333333333333,36.13333333333333
1,January,HI,UA,Carrier,40.0,38.0,3349.0,3349.0,0.95,83.725,83.725
1,January,HI,UA,Late Aircraft,31.0,31.0,3803.0,3803.0,1.0,122.6774193548387,122.6774193548387
1,January,HI,UA,NAS,9.0,8.0,267.0,267.0,0.8888888888888888,29.666666666666668,29.666666666666668
1,January,HI,UA,No Delay,715.0,0.0,446.0,0.0,0.0,0.6237762237762238,0.0
1,January,HI,WN,Carrier,68.0,66.0,3450.0,3450.0,0.9705882352941176,50.73529411764706,50.73529411764706
