month,month_name,origin_state_abbr,operating_airline,origin_airport,flights,cancelled_flights,on_time_flights,dep_delayed_any,dep_delayed_15,dep_delayed_30,dep_delayed_60,dep_delayed_120,arr_delayed_any,arr_delayed_15,arr_delayed_30,arr_delayed_60,arr_delayed_120,sum_departure_delay_min,sum_arrival_delay_min,sum_total_delay_min,arr_delay_rate_any,dep_delay_rate_any,cancel_rate,avg_arrival_delay_min,avg_departure_delay_min,avg_total_delay_min
1,January,AZ,OO,PHX,2167.0,16.0,1462.0,454.0,261.0,164.0,81.0,29.0,689.0,325.0,186.0,78.0,29.0,20135.0,22153.0,19988.0,0.31795108444854636,0.20950622981079833,0.007383479464697739,10.222888786340564,9.291647438855561,9.22381172127365
1,January,AZ,OO,TUS,642.0,1.0,440.0,136.0,86.0,62.0,39.0,18.0,201.0,97.0,65.0,38.0,17.0,7419.0,7714.0,7105.0,0.3130841121495327,0.2118380062305296,0.001557632398753894,12.015576323987538,11.55607476635514,11.066978193146417
1,January,AZ,UA,PHX,800.0,82.0,500.0,202.0,114.0,70.0,44.0,17.0,218.0,106.0,67.0,43.0,17.0,8760.0,8572.0,7877.0,0.2725,0.2525,0.1025,10.715,10.95,9.84625
1,January,AZ,UA,TUS,124.0,3.0,88.0,45.0,25.0,19.0,14.0,8.0,33.0,23.0,18.0,14.0,7.0,4002.0,3770.0,3703.0,0.2661290322580645,0.3629032258064516,0.024193548387096774,30.403225806451612,32.274193548387096,29.862903225806452
1,January,AZ,WN,PHX,5225.0,91.0,2937.0,2633.0,1183.0,647.0,228.0,57.0,2197.0,1087.0,570.0,217.0,54.0,61353.0,55011.0,47744.0,0.4204784688995215,0.5039234449760766,0.017416267942583732,10.528421052631579,11.742200956937799,9.137607655502393
1,January,AZ,WN,TUS,355.0,6.0,242.0,130.0,59.0,37.0,13.0,3.0,107.0,52.0,33.0,11.0,2.0,3203.0,2904.0,2560.0,0.30140845070422534,0.36619718309859156,0.016901408450704224,8.180281690140845,9.022535211267606,7.211267605633803
1,January,CA,AA,BUR,115.0,0.0,73.0,43.0,35.0,27.0,17.0,10.0,42.0,32.0,25.0,16.0,11.0,4813.0,4700.0,4634.0,0.3652173913043478,0.3739130434782609,0.0,40.869565217391305,41.85217391304348,40.29565217391304
1,January,CA,AA,FAT,185.0,2.0,97.0,71.0,48.0,29.0,16.0,8.0,86.0,42.0,27.0,16.0,8.0,2956.0,2943.0,2707.0,0.4648648648648649,0.3837837837837838,0.010810810810810811,15.908108108108108,15.978378378378379,14.632432432432433
1,January,CA,AA,LAX,2421.0,12.0,1450.0,824.0,453.0,328.0,191.0,98.0,959.0,518.0,340.0,184.0,98.0,47868.0,49248.0,46398.0,0.39611730689797603,0.3403552251135894,0.004956629491945477,20.34200743494424,19.77199504337051,19.164807930607186
1,January,CA,AA,MRY,33.0,0.0,20.0,17.0,11.0,7.0,4.0,0.0,13.0,8.0,7.0,3.0,0.0,564.0,494.0,467.0,0.3939393939393939,0.5151515151515151,0.0,14.969696969696969,17.09090909090909,14.151515151515152
